Kommune,pct_foreign_2025Q3,Total,Danish,Foreign National
Frederiksberg,17.0,2963,1289,1674
Dragør,9.0,-190,-208,18
Tårnby,13.0,948,221,727
Albertslund,23.0,1296,70,1226
Ballerup,19.0,3600,1014,2586
Brøndby,29.0,3972,992,2980
Gentofte,17.0,649,-40,689
Gladsaxe,21.0,1651,-528,2179
Glostrup,23.0,1804,277,1527
Herlev,21.0,2146,347,1799
Hvidovre,17.0,357,-528,885
Høje-Taastrup,30.0,5672,1368,4304
Ishøj,34.0,1129,-185,1314
Lyngby-Taarbæk,19.0,1056,-547,1603
Rødovre,21.0,2790,561,2229
Vallensbæk,28.0,1545,342,1203
Allerød,10.0,209,-18,227
Egedal,10.0,1374,756,618
Fredensborg,17.0,608,74,534
Frederikssund,10.0,1035,262,773
Furesø,14.0,821,443,378
Gribskov,10.0,122,-350,472
Halsnæs,13.0,-13,-576,563
Helsingør,11.0,257,-276,533
Hillerød,14.0,2108,702,1406
Hørsholm,12.0,398,49,349
Rudersdal,13.0,123,-433,556
Bornholm,10.0,-1009,-1295,286
Christiansø,6.0,3,3,0
Greve,15.0,2215,1036,1179
Køge,13.0,1618,372,1246
Lejre,9.0,776,419,357
Roskilde,10.0,2099,1047,1052
Solrød,10.0,948,503,445
Faxe,12.0,555,-74,629
Guldborgsund,9.0,-1125,-1679,554
Holbæk,10.0,1017,293,724
Kalundborg,10.0,-163,-1190,1027
Lolland,13.0,-1061,-1906,845
Næstved,9.0,708,-282,990
Odsherred,8.0,-883,-1089,206
Ringsted,15.0,771,-13,784
Slagelse,11.0,817,-233,1050
Sorø,8.0,322,8,314
Stevns,10.0,-21,-232,211
Vordingborg,10.0,-560,-1089,529
Assens,10.0,-426,-881,455
Faaborg-Midtfyn,9.0,253,-294,547
Kerteminde,10.0,70,-268,338
Langeland,11.0,-487,-568,81
Middelfart,8.0,350,80,270
Nordfyns,11.0,-345,-659,314
Nyborg,8.0,102,-153,255
Odense,12.0,4088,1053,3035
Svendborg,7.0,-376,-687,311
Ærø,15.0,-207,-341,134
Billund,19.0,389,-555,944
Esbjerg,11.0,-1396,-2626,1230
Fanø,10.0,-186,-197,11
Fredericia,12.0,898,-58,956
Haderslev,13.0,-356,-1450,1094
Kolding,13.0,1998,81,1917
Sønderborg,17.0,169,-2026,2195
Tønder,18.0,-1167,-2032,865
Varde,14.0,-542,-1233,691
Vejen,15.0,-51,-693,642
Vejle,15.0,2772,335,2437
Aabenraa,17.0,-484,-1844,1360
Favrskov,9.0,589,160,429
Hedensted,11.0,1004,160,844
Horsens,16.0,2970,929,2041
Norddjurs,11.0,-879,-1206,327
Odder,9.0,492,309,183
Randers,10.0,951,-18,969
Samsø,13.0,-96,-129,33
Silkeborg,9.0,3252,2211,1041
Skanderborg,7.0,960,733,227
Syddjurs,9.0,97,-256,353
Århus,13.0,15830,8683,7147
Herning,12.0,12,-1165,1177
Holstebro,10.0,55,-573,628
Ikast-Brande,17.0,775,-359,1134
Lemvig,12.0,-662,-906,244
Ringkøbing-Skjern,15.0,-515,-1376,861
Skive,9.0,-909,-1282,373
Struer,11.0,-587,-715,128
Viborg,10.0,519,-351,870
Brønderslev-Dronninglund,9.0,154,-157,311
Frederikshavn,11.0,-1302,-1893,591
Hjørring,9.0,-939,-1444,505
Jammerbugt,8.0,-265,-628,363
Læsø,7.0,-60,-65,5
Mariagerfjord,10.0,-397,-844,447
Morsø,8.0,-633,-727,94
Rebild,7.0,207,65,142
Thisted,11.0,-691,-1016,325
Vesthimmerland,12.0,-456,-846,390
Aalborg,10.0,2695,1042,1653
