kommun,Change
Ale,4153
Alingsås,3534
Alvesta,327
Aneby,371
Arboga,349
Arjeplog,-308
Arvidsjaur,-395
Arvika,-224
Askersund,358
Avesta,395
Bengtsfors,-480
Berg,41
Bjurholm,-92
Bjuv,1091
Boden,162
Bollebygd,1150
Bollnäs,-151
Borgholm,-15
Borlänge,710
Borås,7850
Botkyrka,7004
Boxholm,195
Bromölla,70
Bräcke,-428
Burlöv,2890
Båstad,1607
Dals-Ed,-158
Danderyd,130
Degerfors,-253
Dorotea,-463
Eda,-41
Ekerö,2212
Eksjö,1194
Emmaboda,-3
Enköping,7428
Eskilstuna,6280
Eslöv,2743
Essunga,22
Fagersta,-61
Falkenberg,4904
Falköping,621
Falun,3049
Filipstad,-837
Finspång,473
Flen,-880
Forshaga,141
Färgelanda,-126
Gagnef,360
Gislaved,199
Gnesta,945
Gnosjö,-378
Gotland,3716
Grums,46
Grästorp,-75
Gullspång,-209
Gällivare,-998
Gävle,5524
Göteborg,67848
Götene,206
Habo,2346
Hagfors,-503
Hallsberg,805
Hallstahammar,1057
Halmstad,10552
Hammarö,1736
Haninge,18488
Haparanda,-625
Heby,855
Hedemora,196
Helsingborg,16747
Herrljunga,121
Hjo,465
Hofors,-150
Huddinge,10119
Hudiksvall,604
Hultsfred,-65
Hylte,-82
Hällefors,-615
Härjedalen,-49
Härnösand,-240
Härryda,3712
Hässleholm,1549
Håbo,2939
Höganäs,3132
Högsby,-461
Hörby,635
Höör,1748
Jokkmokk,-385
Järfälla,18249
Jönköping,15514
Kalix,-916
Kalmar,8028
Karlsborg,237
Karlshamn,153
Karlskoga,126
Karlskrona,1953
Karlstad,9734
Katrineholm,886
Kil,176
Kinda,162
Kiruna,-815
Klippan,981
Knivsta,5088
Kramfors,-944
Kristianstad,4553
Kristinehamn,-358
Krokom,1032
Kumla,1665
Kungsbacka,7573
Kungsör,425
Kungälv,7979
Kävlinge,2669
Köping,353
Laholm,2814
Landskrona,3735
Laxå,-241
Lekeberg,1243
Leksand,885
Lerum,3799
Lessebo,33
Lidingö,2912
Lidköping,1664
Lilla Edet,1411
Lindesberg,-128
Linköping,16154
Ljungby,758
Ljusdal,-504
Ljusnarsberg,-544
Lomma,1769
Ludvika,604
Luleå,3679
Lund,15622
Lycksele,-90
Lysekil,-392
Malmö,47537
Malung-Sälen,285
Malå,-153
Mariestad,662
Mark,1268
Markaryd,389
Mellerud,116
Mjölby,2267
Mora,534
Motala,949
Mullsjö,485
Munkedal,111
Munkfors,-31
Mölndal,8493
Mönsterås,12
Mörbylånga,1726
Nacka,15895
Nora,287
Norberg,-267
Nordanstig,-231
Nordmaling,-143
Norrköping,9697
Norrtälje,9017
Norsjö,-212
Nybro,237
Nykvarn,2527
Nyköping,4836
Nynäshamn,3538
Nässjö,1680
Ockelbo,-50
Olofström,-31
Orsa,39
Orust,298
Osby,119
Oskarshamn,622
Ovanåker,-91
Oxelösund,480
Pajala,-446
Partille,4532
Perstorp,61
Piteå,939
Ragunda,-294
Robertsfors,-34
Ronneby,520
Rättvik,250
Sala,918
Salem,1367
Sandviken,527
Sigtuna,8682
Simrishamn,-15
Sjöbo,922
Skara,-40
Skellefteå,6126
Skinnskatteberg,-178
Skurup,1932
Skövde,4861
Smedjebacken,111
Sollefteå,-1380
Sollentuna,8299
Solna,11748
Sorsele,-208
Sotenäs,173
Staffanstorp,4309
Stenungsund,2576
Stockholm,83585
Storfors,-318
Storuman,-378
Strängnäs,5435
Strömstad,788
Strömsund,-850
Sundbyberg,12184
Sundsvall,1710
Sunne,257
Surahammar,-73
Svalöv,1083
Svedala,3333
Svenljunga,382
Säffle,-435
Säter,337
Sävsjö,463
Söderhamn,-911
Söderköping,521
Södertälje,10676
Sölvesborg,471
Tanum,427
Tibro,474
Tidaholm,188
Tierp,859
Timrå,-504
Tingsryd,-232
Tjörn,957
Tomelilla,632
Torsby,-671
Torsås,59
Tranemo,199
Tranås,188
Trelleborg,4296
Trollhättan,2074
Trosa,3063
Tyresö,3789
Täby,10410
Töreboda,-29
Uddevalla,3493
Ulricehamn,1741
Umeå,14636
Upplands Väsby,8507
Upplands-Bro,7581
Uppsala,40654
Uppvidinge,-161
Vadstena,97
Vaggeryd,1596
Valdemarsvik,-132
Vallentuna,3150
Vansbro,58
Vara,491
Varberg,8648
Vaxholm,493
Vellinge,3706
Vetlanda,881
Vilhelmina,-619
Vimmerby,87
Vindeln,34
Vingåker,-169
Vänersborg,2151
Vännäs,516
Värmdö,6094
Värnamo,1208
Västervik,527
Västerås,16932
Växjö,11364
Vårgårda,1385
Ydre,-34
Ystad,3335
Älmhult,1745
Älvdalen,-170
Älvkarleby,383
Älvsbyn,-397
Ängelholm,4881
Åmål,-420
Ånge,-440
Åre,2138
Årjäng,21
Åsele,-144
Åstorp,1388
Åtvidaberg,-5
Öckerö,126
Ödeshög,-3
Örebro,17522
Örkelljunga,544
Örnsköldsvik,195
Östersund,4484
Österåker,8607
Östhammar,764
Östra Göinge,114
Överkalix,-208
Övertorneå,-654
